
240901101,BRUNI EL,100.00, ChIJNX9vQIIhYYYRYxMSm6Ws-r8
240901102,DON JOSE GALLEGO,100.00,ChIJu3mShXohYYYRF2uzDZdl5QE
240901104,DAICHES EL,100.00,ChIJxYFlGN0jYYYRasSi-cCd6sw
240901105,FARIAS EL,100.00,ChIJW-ZJGaUhYYYRiRbv-huhLaM
240901106,HEIGHTS EL,100.00,ChIJQb-m1NgjYYYRrefQzglRrWs
240901107,TARVER EL,100.00,ChIJVUc4xG0hYYYRjIiQQz6gRzE
240901108,LEYENDECKER EL,100.00,ChIJmbl7ypshYYYRiKKoksvsrQY
240901109,MACDONELL EL,100.00,ChIJK5ARjIUhYYYRIiUodW0bDjY
240901110,MILTON EL,100.00,ChIJP6yIX0YhYYYRka52c1aL74s
240901111,PIERCE EL,100.00,ChIJP9U_-w0hYYYRv9GlZvIyOAY
240901112,RYAN EL,100.00,ChIJJ3_9nlshYYYRVdJ-P6u9j8w
240901115,SANTA MARIA EL,100.00,ChIJq9XEY6MhYYYRIXeWHQor4YM
240901116,SANTO NINO EL,100.00,ChIJrUxOQO0jYYYR2kO3ODtTRDU
240901119,D D HACHAR EL,100.00,ChIJP4EQD_0jYYYRoKWCqSbLRoQ
240901120,J C MARTIN JR EL,100.00,ChIJEza6tnUhYYYR-cLcFf4kcS4
240901121,H B ZACHRY EL,100.00,ChIJu3eCaI8jYYYR3Iiwo6ihbyY
240901122,J KAWAS EL,100.00,ChIJ1QkwZJEjYYYR-pN73avqIno
240901123,DOVALINA EL,100.00,ChIJAfb4oZIhYYYRTGziicyukdc
240901124,LIGARDE EL,100.00,ChIJ1-oIFIUjYYYRgVhUxQHrE4M
240901125,T SANCHEZ EL / H OCHOA EL,100.00,ChIJOx_9e3MhYYYRHuf4qoghweA
