101912102, ALCOTT EL,96.26,ChIJY3O44eyVQIYRkd7gUx2R1cU  
101912104, ALMEDA EL,85.43,ChIJHTuzqmnrQIYR4WZU7Nytzc8
101912105, ANDERSON EL,87.79,ChIJEza6443pQIYR38BS3Xn8zOA
101912106, ATHERTON EL,97.06,ChIJ-UwU8025QIYRMHCmAsROrjg
101912107, BARRICK EL,94.60,ChIJCyOuB423QIYRYerLRb56eYM 
101912108, BASTIAN EL,99.04,ChIJ3erK-ZyVQIYRlTcSd9kq0cM
101912109, BERRY EL,89.70,ChIJtbgRe7S5QIYRm_sV831Ql9Y  
101912110, BLACKSHEAR EL,94.79,ChIJ5cep0ge_QIYRKEZH5cP3Yhg 
101912111, BONHAM EL,97.56,ChIJARpgnmLCQIYRQNePGiwfTrs
101912112, BONNER EL,90.08,ChIJnwpu-tCXQIYRCdTW8G2LnMo 
101912113, RODERICK R PAIGE EL,95.57,ChIJAQGjy6W5QIYRLcPmKsZbC_A  
101912114, BRAEBURN EL,98.81,ChIJ5Z5yZjfoQIYRdL2LZ9uAV2Q
101912115, DURHAM EL,74.33,ChIJichWWL7HQIYRIBNk-5dKLmY
101912117, BRISCOE EL,81.79,ChIJNw5PlTK8QIYRyiRfma3tmTE
101912119, BROOKLINE EL,94.36,ChIJSxMoKg--QIYRB1HC7w73l3A 
101912120, BROWNING EL,94.70, ChIJzwE8cpa4QIYRJ5DzGHvVrFo
101912121, BRUCE EL,98.58, ChIJGxdvv9G-QIYRQSpVcSmiFjA 
101912122, BURBANK EL,96.20, ChIJ8_vtfRW4QIYRubwHsy4sVnI
101912123, CODWELL EL,86.97, ChIJJal3alOUQIYRvlpylCzFIEs
101912124, BURNET EL,96.28, ChIJNc5zh5m-QIYRvVyhcnsLrEg 
101912125, BURRUS EL,94.37, ChIJtdADl4C4QIYRdS2XscgYonw  
101912127, WOODSON SCHOOL,89.09, ChIJRcBPtRuVQIYR8ApP7gx7e48
101912128, LYONS EL,93.90, ChIJASp9iyS4QIYRwLQRRcSBUrQ
101912131, HALPIN EARLY CHILDHOOD CTR,97.47, ChIJKw-QFcPpQIYRRNSVqEeCaa4
101912132, COOP EL,98.20, ChIJpahdvdO5QIYRiKWd2QxOJ2I
101912133, CORNELIUS EL,87.84, ChIJjzj_qx6WQIYRuLXwKBmiEIY  
101912135, CROCKETT EL,66.84, ChIJhyDhFLO4QIYRd5R5VVZF3cg
101912136, CUNNINGHAM EL,90.06, ChIJ1cLtb4PBQIYR_7DmZiWYW6Q   
101912137, DE CHAUMES EL,95.78, ChIJ6WTKGRy4QIYRwU2xk8GOl-4
101912138, DE ZAVALA EL,89.28, ChIJ8f67JDa8QIYRnrEX-jtGByA 
101912140, DOGAN EL,85.83, ChIJkwa4ZEi5QIYRQGb8mvaRmfM   
101912144, DURKEE EL,90.42, ChIJ___TywC4QIYRs3bn4XojfE4   
101912147, ELIOT EL,95.07, ChIJGTPxH_y7QIYRFprQ02pZu-I
101912148, ELROD EL,87.76, ChIJrUjK_t7pQIYRkwPfz0OzOYU   
101912149, EMERSON EL,91.69, ChIJPQY0khvDQIYRUmmQ9Z422Yo   
101912151, BELL EL,88.14, ChIJ84o6em7oQIYRmfwDu3IFZ5Q  
101912152, FIELD EL,86.49, ChIJHZb1gp64QIYRy2gZkULwdRk
101912153, FONDREN EL,92.04, ChIJrX0GTnXpQIYR4wRV2pDAu40   
101912154, FOSTER EL,91.08, ChIJLX821s-_QIYR4EPEWgoOdBk   
101912155, FRANKLIN EL,96.45, ChIJyYiSWzC8QIYRCzHHqlAvcZY   
101912156, FROST EL,96.21, ChIJrdDyPrWVQIYRT-pxJ54XWlU   
101912157, GARDEN OAKS MONTESSORI,45.91, ChIJSb0qtZjHQIYRWtcZzmVUOfU   
101912158, GARDEN VILLAS EL,79.44, ChIJ8wDrlQyWQIYRTRTGuEdZgJY
101912159, GOLFCREST EL,90.98, ChIJgaYHsfa9QIYRS8_UgeCg6Iw   
101912162, GREGG EL,93.07, ChIJO3259geWQIYRf2sM3mAen_A   
101912163, SUGAR GROVE ACADEMY,86.75,ChIJ6yietGTCQIYRspfbSNQe1fo   
101912166, HARRIS J R EL,89.32,ChIJ70NQ9a-9QIYRIB-AYeeaWog 
101912167, HARRIS R P EL,87.69, ChIJvyghIVKjQIYRG4nBZRlEiWk   
