FIPS,State,County,PCT_DIABETES_ADULTS15,PCT_OBESE_ADULTS13,PCT_LACCESS_POP15,PCT_LACCESS_LOWI15,PCT_LACCESS_SNAP15,GROCPTH15,FFRPTH15
05105,AR,Perry,12.2,37.5,14.27234645,6.273630648,2.142346131,0.09760859,0.09760859
48369,TX,Parmer,9.4,29.4,48.33651969,19.93399714,6.591603576,0.302785628,0.100928543
46121,SD,Todd,18.2,38,20.70628821,14.26473545,8.925120996,0.303582271,0.10119409
01105,AL,Perry,21.7,43,8.323571678,4.885117508,1.846977325,0.407083249,0.101770812
02180,AK,Nome,6,31.7,55.58372986,38.09334495,24.72159455,1.731689926,0.101864113
38055,ND,McLean,10.4,33.4,55.1663313,14.87494456,2.307394884,0.313217791,0.10440593
29153,MO,Ozark,15.1,33.4,55.17515425,27.7357791,12.7317476,0.210703751,0.105351875
29185,MO,St. Clair,12.4,28.6,9.340965647,4.584072024,1.721101107,0.317225336,0.105741779
13319,GA,Wilkinson,14.8,34.5,21.71679477,10.8446223,2.606452466,0.428908428,0.107227107
29085,MO,Hickory,13.1,29.2,13.6362393,6.872533852,2.383473786,0.216943269,0.108471635
54015,WV,Clay,14.6,32.6,18.43926062,9.524460811,3.284967313,0.111844313,0.111844313
54101,WV,Webster,16.7,34.7,1.307794249,0.659300805,0.400284839,0.339597012,0.113199004
48405,TX,San Augustine,13.7,32.3,4.50249492,1.98904429,0.629921952,0.348432056,0.116144019
31027,NE,Cedar,8.8,28.3,15.95105119,4.749342037,0.737347681,0.464576074,0.116144019
01063,AL,Greene,21,46.3,32.75833067,21.34247572,12.25714003,0.233836081,0.11691804
31107,NE,Knox,10.4,31.6,7.764301975,3.3581397,0.580146681,0.707380335,0.117896722
51029,VA,Buckingham,14.3,33.5,8.419684715,4.456827647,1.867093849,0.236504464,0.118252232
05025,AR,Cleveland,13,35.7,21.16338872,5.516299787,3.656707861,0.118357202,0.118357202
29203,MO,Shannon,12.2,29.7,16.58517756,7.440844209,2.622583427,0.240124865,0.120062432
13289,GA,Twiggs,14.5,32.8,0.165594415,0.118047488,0.022536741,0,0.120192308
05117,AR,Prairie,14.3,36.3,37.02884159,19.65973495,6.692283181,0.240847784,0.120423892
29061,MO,Daviess,10.5,32.6,21.81821441,9.987402819,1.779177959,0.361576473,0.120525491
08021,CO,Conejos,6,24.5,5.617444267,2.709425937,0.942784706,0.362976407,0.120992136
31023,NE,Butler,9,32,15.941153,5.277084332,1.115766605,0.242453631,0.121226815
13309,GA,Wheeler,12.1,31.9,4.936835782,2.517025679,1.959831941,0.125078174,0.125078174
05101,AR,Newton,12.8,34.2,43.85444144,21.32055453,6.854053597,0.506072874,0.126518219
20043,KS,Doniphan,9.7,32.1,61.50697034,19.80529349,5.514635098,0.254000508,0.127000254
30057,MT,Madison,9.4,21.7,30.19206039,9.751934718,1.769085776,0.383631714,0.127877238
29041,MO,Chariton,11.5,30.4,10.26248668,3.777530327,0.650060784,0.259942813,0.129971406
48437,TX,Swisher,9.9,27.7,18.35950602,8.011914215,1.73905788,0.131908719,0.131908719
54013,WV,Calhoun,14,32.7,15.33738059,7.794559057,3.279781452,0.133102622,0.133102622
39115,OH,Morgan,14.8,36.7,6.282881354,2.944159312,1.315276795,0.13474365,0.13474365
17139,IL,Moultrie,10.2,28.6,3.021704979,0.789528894,0.3653878,0.06739907,0.13479814
19129,IA,Mills,10.9,34.7,10.38998167,2.977350755,1.113632453,0.269705347,0.134852673
38067,ND,Pembina,12.1,32.1,46.20360529,10.82421048,3.016604841,0.701459035,0.140291807
46113,SD,Shannon,15.8,42.9,79.34371073,62.11082311,36.186464,0.14066676,0.14066676
46009,SD,Bon Homme,9.4,29.6,14.11669461,4.280347195,1.421661003,0.427167877,0.142389292
