Name,Location,Percent in Poverty,Lat,Long,Google Place ID
Hobby Elementary,Houston,80.27,29.635015000000003,-95.43722109999999,ChIJcdtDllXqQIYRoLNlG80iJ2M
McGowen Elementary School,Houston,91.47,29.8206316,-95.3005782,ChIJg2fuoNK7QIYRbiJHriUaRpU
Isaacs Elementary School,Houston,95.37,29.794996900000008,-95.31839620000001,ChIJM3Ac_1y5QIYRMfbBax7xv2E
Janowski Elementary School,Houston,95.46,29.830195399999997,-95.3707037,ChIJUbysO124QIYRIw9MKDPfRhE
Jefferson Elementary School,Houston,87.96,29.8056359,-95.3702783,ChIJpSrFCO24QIYRFqQNoI2_vnM
Kashmere Gardens Elementary School,Houston,90.85,29.804952,-95.31835179999999,ChIJH2yUSmS5QIYRjUolg4KgUYA
Robinson Elementary School,Houston,86.51,29.7898686,-95.21296640000001,ChIJf5y9CaWkQIYRYPibzf_9LZI
Kelso Elementary School,Houston,94.93,29.6820548,-95.3338747,ChIJhY3cfyC-QIYRHOdxjsRL7Qw
Kennedy Elementary School,Houston,89.86,29.834479499999997,-95.3935166,ChIJYyvlO4bHQIYR7ZIu02i8cSc
Lantrip Elementary School,Houston,82.26,29.74040219999999,-95.3348021,ChIJ53zZ7O2-QIYRdpglsoUoR6E
Lewis Elementary School,Houston,76.93,29.9658397,-95.4754153,ChIJ4VUgn_fLQIYR7VH-riTdx2Y
Lockhart Elementary School,Houston,79.39,29.717789399999997,-95.365586,ChIJ-cNSwrG_QIYR0L0pmu8O7hM
Longfellow Elementary School,Houston,73.77,29.687145899999997,-95.4323331,ChIJfYmSsy3AQIYRneWKWS8zXYY
Looscan Elementary School,Houston,90.91,29.795203100000002,-95.3571651,ChIJszTF6N24QIYR_ERiC9Aw22s
Love School,Houston,88.79,29.793271999999998,-95.4092614,ChIJU5NsGkLHQIYRojpY_BNxw70
Mac Gregor Elementary School,Houston,72.2,29.728164000000003,-95.38078,ChIJJcIYTXa_QIYRj0smgbjXIYg
Mading Elementary School,Houston,96.07,29.6596473,-95.3274061,ChIJ81Ovc-qVQIYRSsKKgmdAD4o
Memorial Elementary,Houston,72.12,29.769492,-95.4252438,ChIJ7dLtptLAQIYRwer_dRWHmIo
Montgomery Elementary School,Houston,94.56,29.620354,-95.43657,ChIJ9fZBD6jrQIYRlQSNt4zwg6s
Pat Neff Elementary School,Houston,94.57,29.700282799999997,-95.5322277,ChIJpcCr9e3CQIYRE9qCGoJdjek
Northline Elementary,Houston,90.59,29.85146699999999,-95.386922,ChIJTy_WbA-4QIYRUd99Qu1rhww
Oates Elementary School,Houston,91.62,29.7931743,-95.2524146,ChIJm5NkzG67QIYRbZ0i4Jk4iVg
Osborne Elementary School,Houston,88.84,29.875999,-95.416443,ChIJVfqga23IQIYRSvPr9nywFpU
Park Place Elementary School,Houston,93.78,29.689594399999997,-95.2730965,ChIJzabUtYa9QIYRrs9bP9kiQvE
Parker Elementary School,Houston,51.91,30.00374330000001,-95.39638000000001,ChIJO2mNUYHKQIYR2eeqYPGYuBg
Patterson Elementary School,Houston,90.25,29.6824467,-95.2423944,ChIJSVrs1eOXQIYRoh7agw0X3W0
Peck Elementary School,Houston,87.62,29.70617009999999,-95.3342485,ChIJUZOC5kC-QIYRfsKUWEHRxgw
Pilgrim Elementary School,Houston,97.24,29.730887299999992,-95.47291259999999,ChIJHXPOfXzBQIYRmPVoCaMdMso
Piney Point Elementary,Houston,94.62,29.725112300000003,-95.5213712,ChIJZ8pJwwDDQIYRWriN7ppUJqU
Pleasantville Elementary School,Houston,94.18,29.7640793,-95.2720353,ChIJfaGTS2O8QIYRvCXLxMniXD8
Port Houston Elementary,Houston,98.26,29.760109399999997,-95.2833829,ChIJOQjGvG68QIYR2lgQX2eUrYo
Pugh Elementary School,Houston,93.96,29.767970000000002,-95.3068363,ChIJ-epSxgO8QIYRyoP6wlzFSP0
Red Elementary School,Houston,55.69,29.666632399999997,-95.45501170000001,ChIJUxDKk3LqQIYRhYerMsfrnys
Reynolds Elementary School,Houston,87.69,29.6518097,-95.3752303,ChIJ0dba7z6VQIYRSoe6T3uJ6lE
McNamara Elementary School,Houston,95.72,29.6843576,-95.5044113,ChIJK-Gjj3HCQIYRLw9iY_wPXAg
Roosevelt Elementary School,Houston,87.72,29.818258,-95.37388100000001,ChIJ6ef3pIq4QIYR14sfk4UsU4k
Ross Elementary School,Houston,94.5,29.8015229,-95.3418241,ChIJg2CNehe5QIYRsJlPNi5CxB4
Rucker School,Houston,90.66,29.6940767,-95.24183199999999,ChIJ8begglu9QIYRN6NxSh49cm0
Baylor College of Medicine Biotech Academy at Rusk,Houston,79.05,29.753276,-95.3447205,ChIJwa9ssN2-QIYR9ADf0zB-L2s
Scarborough Elementary School,Houston,94.69,29.830080300000002,-95.3219895,ChIJB2tlVmG3QIYR-WP-_SJFMus
Shearn Elementary School,Houston,94.52,29.67745800000001,-95.440841,ChIJA5_yVX_qQIYRcl4y8Lu-Gfg
Sherman Elementary School,Houston,95.99,29.7795262,-95.3524963,ChIJpz2899W4QIYRSor8b378-0A
Sinclair Elementary School,Houston,48.58,29.793916600000003,-95.4284371,ChIJ7e92gCLHQIYRWPvWQQqVufw
Katherine Smith Elementary,Houston,84.58,29.839298,-95.461634,ChIJV15spBTGQIYRBIMg-uH1WBw
Thompson Elementary School,Houston,96.3,29.9696792,-95.4650157,ChIJz9n_ZO7LQIYRxbUJ0pEpGj8
Southmayd Elementary School,Houston,94.48,29.71007629999999,-95.2890983,ChIJJT5scb-9QIYRRLt3_pHS9vw
Stevens Elementary School,Houston,93.41,29.827159100000003,-95.44611490000001,ChIJZUgOAVDGQIYRW8oSD4vi2ww
Young Elementary School,Houston,98.97,29.6701288,-95.3711385,ChIJ3-aDyWeVQIYRB9H5zMqi0ic
William Sutton Elementary School,Houston,86.59,29.6977783,-95.50160759999999,ChIJNaiNcGrCQIYRQ_DG6J0moKU
Wainwright Elementary School,Houston,92.46,29.823159000000004,-95.469045,ChIJmeeOG3vGQIYRWqn1Eq5edww
Walnut Bend Elementary School,Houston,89.04,29.74773099999999,-95.563711,ChIJK0nKfLPcQIYRjqzZKinqAfg
Mabel B. Wesley Elementary School,Houston,96.56,29.86129639999999,-95.4191557,ChIJPccuQd_HQIYR7knEC9o4_LA
Wharton Dual Language Academy,Houston,49.5,29.7540908,-95.3907168,ChIJleiB0l6_QIYRtXFynUiTH2I
Whidby Elementary School,Houston,85.6,29.682430800000002,-95.3752255,ChIJwSS6NOC_QIYRUMbRfIhtsNM
Whittier Elementary School,Houston,89.78,29.772141700000002,-95.2428123,ChIJ_bkv56O8QIYREMEobw_m7Gw
Woodrow Wilson Montessori,Houston,35.32,29.74774469999999,-95.3989488,ChIJ3QqhS5_AQIYRopWpX1xjw00
Windsor Village Elementary School,Houston,90.89,29.6172762,-95.4711091,ChIJb8JIE9rrQIYR4DnuIAhlRI4
Grissom Elementary School,Houston,97.94,29.620613,-95.455214,ChIJc7AEvrfrQIYRPVZpjVlo9x0
Law Elementary School,Houston,82.59,29.627702000000003,-95.364294,ChIJXT8ckeSUQIYRbs2uWZplG0Y
