School,Location,Closest Store,Store Address,Driving Distance (miles),Bus Distance (miles),Percent in Poverty
Sunset Valley Elementary School,Austin,Randalls,"2025 W Ben White Blvd, Austin",1.4,1.4,63.52
Graham Elementary School,Austin,H-E-B,"9414 N Lamar Blvd, Austin",2.8,2.9,86.91
Linder Elementary School,Austin,Walmart Supercenter,"710 East Ben White Boulevard, Austin",1.8,1.6,91.18
Katherine A Cook Elementary School,Austin,H-E-B,"9414 N Lamar Blvd, Austin",1.4,1.5,92.52
Josephine Houston Elementary School,Austin,Fiesta Mart,"5510 Interstate 35, Austin",0.9,1.1,93.54
Hart Elementary School,Austin,Walmart Supercenter,"1030 Norwood Park Boulevard, Austin",0.5,0.7,97.39
Pickle Elementary School,Austin,Walmart Supercenter,"1030 Norwood Park Boulevard, Austin",1.5,2.0,95.47
Mc Bee Elementary School,Austin,H-E-B,"9414 N Lamar Blvd, Austin",1.8,2.0,93.01
Williams Elementary School,Austin,H-E-B,"600 W William Cannon Dr, Austin",1.5,1.6,73.45
Langford Elementary School,Austin,H-E-B,"6607 S IH 35 Frontage Rd, Austin",1.0,0.9,94.29
Boone Elementary School,Austin,H-E-B,"6900 Brodie Ln, Austin",1.4,1.5,42.68
Palm Elementary School,Austin,H-E-B,"6607 S IH 35 Frontage Rd, Austin",3.2,3.5,83.54
Kocurek Elementary School,Austin,H-E-B,"2110 W Slaughter Ln, Austin",1.1,1.2,60.95
Casey Elementary School,Austin,H-E-B,"2110 W Slaughter Ln, Austin",0.9,1.1,54.22
Rodriguez Elementary School,Austin,Fiesta Mart,"5510 Interstate 35, Austin",1.8,2.0,96.83
Widen Elementary School,Austin,Fiesta Mart,"5510 Interstate 35, Austin",1.9,2.4,93.41
Galindo Elementary School,Austin,Supermercado Poco Loco,"611 West Ben White Boulevard, Austin",0.7,0.7,88.25
Uphaus Early Childhood Center,Austin,Fiesta Mart,"5510 Interstate 35, Austin",1.2,1.5,80.88
Barbara Jordan Elementary School,Austin,H-E-B,"7112 Ed Bluestein Blvd #125, Austin",1.9,2.6,94.03
Blazier Elementary School,Austin,H-E-B,"6607 S IH 35 Frontage Rd, Austin",3.9,5.1,69.76
Dr. Guerrero-Thompson Elementary School,Austin,H-E-B,"9414 N Lamar Blvd, Austin",0.6,0.7,96.27
Padrón Elementary School,Austin,H-E-B,"9414 N Lamar Blvd, Austin",1.5,1.5,94.62
Overton Elementary School,Austin,H-E-B,"7112 Ed Bluestein Blvd #125, Austin",2.8,3.8,94.68
Perez Elementary School,Austin,H-E-B,"6607 S IH 35 Frontage Rd, Austin",2.6,2.5,88.01
Webb Primary School,Austin,Walmart Supercenter,"1030 Norwood Park Boulevard, Austin",1.8,4.8,97.48
