School Name,Location,Closest Store,Store Address,Driving Distance (miles),Bus Distance (miles),Walking Distance (miles),Percent in Poverty,Zip Code,Poverty Groups
Leslie A. Stemmons Elementary School,Dallas,Grocery Clearance Center,"3107 S Cockrell Hill Rd, Dallas, TX 75236",1.0,2.4,1.0,94.3,75211,90-100
Stevens Park Elementary School,Dallas,Aldi,"2505 Fort Worth Ave, Dallas, TX 75211",0.1,0.1,0.1,92.72,75211,90-100
Harry Stone Montessori,Dallas,Fiesta Mart,"3030 S Lancaster Rd, Dallas, TX 75216",1.9,2.3,1.9,58.7,75216,50-59
T.G. Terry Elementary School,Dallas,Cash Saver,"1201 W Camp Wisdom Rd, Dallas, TX 75232",1.1,1.2,1.0,93.25,75232,90-100
Robert L. Thornton Elementary School,Dallas,Save You More,"3540 Simpson Stuart Rd, Dallas, TX 75241",3.7,4.6,2.9,85.25,75241,80-89
Edward Titche Elementary School,Dallas,Aldi,"2926 S Buckner Blvd, Dallas, TX 75227",2.2,3.3,2.0,83.59,75227,80-89
George W Truett Elementary School,Dallas,Albertsons,"320 Casa Linda Plaza, Dallas, TX 75218",1.9,2.0,1.9,93.94,75228,90-100
Adelle Turner Elementary School,Dallas,Walmart Supercenter,"200 Short Blvd, Dallas, TX 75232",2.0,2.3,1.6,84.66,75232,80-89
Mark Twain Leadership Vanguard,Dallas,Walmart Supercenter,"200 Short Blvd, Dallas, TX 75232",0.9,1.2,0.9,90.94,75232,90-100
Urban Park Elementary School,Dallas,Fiesta Mart,"2951 S Buckner Blvd, Dallas, TX 75227",1.9,1.9,1.8,96.27,75227,90-100
Walnut Hill Elementary School,Dallas,El Rancho Supermercado,"10020 Marsh Ln #200, Dallas, TX 75254",1.3,1.3,1.1,83.2,75229,80-89
Daniel Webster Elementary School,Dallas,Fiesta Mart,"2225 W Ledbetter Dr, Dallas, TX 75224",0.9,0.7,0.7,93.96,75233,90-100
Martin Weiss Elementary School,Dallas,Aldi,"8034 Chrysalis Dr, Dallas, TX 75237",2.1,2.3,1.9,95.99,75232,90-100
Sudie L. Williams TAG Academy,Dallas,Trader Joe's,"5550 W Lovers Ln Ste 168, Dallas, TX 75209",1.4,1.1,1.1,90.81,75209,90-100
Winnetka Elementary School,Dallas,Kroger,"752 Wynnewood Village Shopping Center, Dallas, TX 75224",1.4,1.3,1.3,93.8,75208,90-100
Harry C. Withers Elementary School,Dallas,Sprouts Farmers Market,"11722 Marsh Ln #317, Dallas, TX 75229",1.1,0.9,0.9,55.2,75229,50-59
Edna Rowe Elementary School,Dallas,Fiesta Mart,"2951 S Buckner Blvd, Dallas, TX 75227",3.0,4.1,2.9,90.87,75227,90-100
Nathan Adams Elementary School,Dallas,Tom Thumb,"3757 Forest Ln, Dallas, TX 75244",2.6,4.1,2.3,89.56,75244,90-100
Henry B Gonzalez Personalized Learning Academy,Dallas,El Rancho Supermercado,"1515 S Buckner Blvd, Dallas, TX 75217",2.0,1.8,1.7,95.42,75217,90-100
Birdie Alexander Elementary,Dallas,Aldi,"8034 Chrysalis Dr, Dallas, TX 75237",1.2,1.4,1.2,77.54,75232,70-79
Nancy J. Cochran Elementary School,Dallas,Supermercado Monterrey,"6000 Keeneland Pkwy, Dallas, TX 75211",1.0,1.0,1.0,97.31,75211,90-100
John W. Runyon Elementary School,Dallas,Fiesta Mart,"10121 E Lake June Rd, Dallas, TX 75217",1.1,1.3,0.9,96.36,75217,90-100
Arturo Salazar Elementary School,Dallas,Supermercado Monterrey,"1120 S Westmoreland Rd, Dallas, TX 75211",0.4,0.4,0.4,94.92,75211,90-100
Frank Guzick Elementary School,Dallas,Walmart Supercenter,"7401 Samuell Blvd, Dallas, TX 75228",0.8,0.9,0.8,95.82,75227,90-100
Adelfa Callejo Elementary School,Dallas,Fiesta Mart,"2951 S Buckner Blvd, Dallas, TX 75227",0.9,0.9,0.9,95.81,75227,90-100
Whitney M. Young Jr. Elementary School,Dallas,Fiesta Mart,"3030 S Lancaster Rd, Dallas, TX 75216",1.7,1.7,1.7,96.69,75216,90-100
